1,スマホのようなもの,冒険のヒント等を見る事ができる。
ショートカット：\{\I[6713]\}
2,ネタバレポート,どこでもセーブできる。連続使用不可
ショートカット：\{\I[6713]\}
3,クスネルハンド,モンスターから アイテムを 採取するための手袋。
上手く採るには 根気が必要。
4,トゥルトゥルパヒューム,魔物を呼びよせる。使っても無くならない。
ショートカット：\{\I[6713]\}
5,大賢者モードの錫杖,味方全員のHPを 50%回復する、何度でも使える錫杖。
\C[21]同一ターンで複数回 使用できない。\C[0]【戦闘時限定】
6,コインボックス,コインの所持数・\V[111]枚
7,材料リスト,フサキンから貰った『便利なモノ』を作るための
材料を記したメモ。
8,世界地図,現在地や行った事のある地を指し示してくれる地図。
ショートカット：\{\I[6713]\}
9,賢者モードの杖,味方全員のHPを 25%回復する、何度でも使える杖。
\C[21]同一ターンで複数回 使用できない。\C[0]【戦闘時限定】
10,まいど巻き,味方一人のHPを 150回復する。
11,上まいど巻き,味方一人のHPを 300回復する。
12,超まいど巻き,味方一人のHPを 600回復する。
13,マザイ,味方一人のMPを 15回復する。
14,ジャスミンマザイ,味方一人の ｲﾝﾌﾙ・ﾔｸ漬・催眠・頭痛を回復する。
15,リバイブマザイ,戦闘不能状態の仲間をHP 50%で蘇生させる。
16,超リバイブマザイ,戦闘不能者を完全回復して蘇生させる。
17,赤マザイ,味方一人の攻撃力を一段階 強化する。
すこし早めに使用できる。
18,青マザイ,味方一人の防御力を一段階 強化する。
すこし早めに使用できる。
19,コピック,顔面に塗ることで 魔物が寄りつかなくなる。
効果持続中に戦闘に巻き込まれると 強制解除される。
20,ナナメブレッド,香ばしく焼きあがったパン。
21,ギンタマゴ,普通の卵。
22,マスタベーコン,カリッと焼いたベーコン。
そのまま食べても美味しい！
23,ヒキミート,脂身たっぷりの生肉。
24,サイコパスタ,茹でて食べる細長い穀物。
25,ソクセキめん,お湯を入れればあら不思議
26,フサライス,おいしそうなお米
意外と炊くのが難しい。
27,バチバチーズ,クリーミーで濃厚な高級チーズ。
28,マグミルク,甘くておいしい牛乳。
29,ビックバンココア,取扱注意。
30,カンパイカカオ,スモーキーな香りがする高価な木の実。
31,ポメパウダー,甘いものを作るのに使えそう。
32,サブレタス,どう見てもレタス。
緑が欲しい場合にどうぞ。
33,にんじん次郎,特徴的なシルエットの野菜。
34,オサルポテト,皮までおいしいイモ。
35,チャイルドトマト,冷やすととても美味しい小さなトマト。
36,たまねぎ三郎,刻む際には要注意。
37,アオリイカ,個性的な見た目の軟体動物。
38,シグマス,よく釣れる淡水魚。
刺身にしてもOC。
39,シグマグロ,人気ナンバーワンの魚。
昔は価値が無く、ゲロシグマグロと呼ばれていた。
40,ビダイ,とても美しい高級魚。
新鮮なうちに。
41,エンパイアパウダー,究極の料理を作るための高級食材。
42,ナナメサンド,味方全員のHPを 200回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
43,上出来ナナメサンド,味方全員のHPを 300回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
44,ニテツおにぎり,味方全員のHPを 200回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
45,上出来ニテツおにぎり,味方全員のHPを 300回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
46,コナイラーメン,味方全員のHPを 400回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
47,上出来コナイラーメン,味方全員のHPを 500回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
48,ダンドリーチキン,味方全員のHPを 600回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(7%)
49,上出来ダンドリーチキン,味方全員のHPを 700回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(7%)
50,モニングトースト,味方全員のMPを 20回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
51,上出来モニングトースト,味方全員のMPを 30回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
52,マキタマゴ,味方全員のMPを 20回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
53,上出来マキタマゴ,味方全員のMPを 30回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
54,シラユリオムライス,味方全員のMPを 40回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
55,上出来シラユリオムライス,味方全員のMPを 50回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
56,モリモリハンバーグ,味方全員のMPを 80回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(7%)
57,上出来モリモリハンバーグ,味方全員のMPを 100回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(7%)
58,アオリイカの丸焼き,味方全員のAPPを 10チャージする。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
59,上出来アオリイカの丸焼き,味方全員のAPPを 15チャージする。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
60,ペロスカトーレ,味方全員のAPPを 15チャージする。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
61,上出来ペロスカトーレ,味方全員のAPPを 20チャージする。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
62,パカパカパッツァ,味方全員のAPPを 20チャージする。
戦闘中に食べると 二食目以降 確率でデブになる。(7%)
63,上出来パカパカパッツァ,味方全員のAPPを 25チャージする。
戦闘中に食べると 二食目以降 確率でデブになる。(7%)
64,,
65,,
66,にんじんフルコース,味方全員のHPとMPを 30%回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
67,上出来にんじんフルコース,味方全員のHPとMPを 40%回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(3%)
68,パカパルカレー,味方全員のHPとMPを 50%回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
69,上出来パカパルカレー,味方全員のHPとMPを 60%回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(5%)
70,オサルポテトパイ,味方全員のHPとMPを 70%回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(10%)
71,上出来オサルポテトパイ,味方全員のHPとMPを 80%回復する。
戦闘中に食べると 二食目以降 確率でデブになる。(10%)
72,,
73,,
74,ブカブカパンケーキ,味方全員のHPとMPを 70%回復する。攻防 一段階強化
戦闘中に食べると 二食目以降 確率でデブになる。(14%)
75,上出来ブカブカパンケーキ,味方全員のHPとMPを 80%回復する。攻防 二段階強化
戦闘中に食べると 二食目以降 確率でデブになる。(14%)
76,ガトー･ショコラ,味方全員のHPとMPを 80%回復する。攻防 二段階強化
戦闘中に食べると 二食目以降 確率でデブになる。(20%)
77,濃厚絶品ガトー･ショコラ,全員のHPとMPと状態異常を 100%回復する。攻防 最大強化
戦闘中に食べると 二食目以降 確率でデブになる。(20%)
78,生命のマザイ,ステータスに＋値を付与する特製のマザイ。
最大HP +12
79,魔法のマザイ,ステータスに＋値を付与する特製のマザイ。
最大MP +4
80,猛攻のマザイ,ステータスに＋値を付与する特製のマザイ。
攻撃力 +2
81,守備のマザイ,ステータスに＋値を付与する特製のマザイ。
防御力 +2
82,俊敏のマザイ,ステータスに＋値を付与する特製のマザイ。
敏捷性 +2
83,超マザイ,味方一人のMPを 250回復する。
84,ガッツアルケム,根性が確定で発動する効果を与える。
85,キュアスプレー,味方全員のHPを 50%回復する。
86,ダイヤモンドの書,使用ターンの間、味方一人を鉄壁状態にする。
【先制発動】
87,ソウルポーション,味方一人をマジギレ覚醒させる。
88,超赤マザイ,味方一人の攻撃力を一定時間 最大強化する。
すこし早めに使用できる。
89,超青マザイ,味方一人の防御力を一定時間 最大強化する。
すこし早めに使用できる。
90,,
91,ヴァニタス・コア,ヴァニタスのコアとなった
あづキンを繋いでいたパーツ。
92,,
93,,
94,,
95,ナナメアユ,レアリティ:\C[17]★
\C[0]名前のわりに一直線にしか泳げない
96,クソガキニシン,レアリティ:\C[17]★
\C[0]よくアニサキスザッパーしてから食べよう
97,カロウシヒラメ,レアリティ:\C[17]★
\C[0]ヒラメとカレイって何が違うんですか
98,サブレタチウオ,レアリティ:\C[17]★
