1,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2,防御,身を守ることに専念し、受けるダメージを抑える。,は身を守っている！,
3,マイド,聖なる呪文で自身のHPを 150回復する。,「まいどまいどまいどああああ！！,
4,ドマイド,聖なる呪文で自身のHPを 300回復する。,「まいどまいどまいどああああ！！,
5,シコマイド,聖なる呪文で自身のHPを 全回復する。,「まいどまいどまいどああああ！！,
6,ドシコマイド,聖なる呪文で味方全員のHPを 300回復する。,「まいどまいどまいどああああ！！,
7,ドチャシコマイド,聖なる呪文で味方全員のHPを 全回復する。,「まいどまいどまいどああああ！！,
8,リマイド,聖なる呪文で選択した味方一人のHPを 150回復する。,はリマイドを唱えた！,
9,リドマイド,聖なる呪文で選択した味方一人のHPを 300回復する。,はリドマイドを唱えた！,
10,ズァッッ,闇の魔弾が敵を貫く。会心の一撃が出やすい。
【魔:\I[6141]】,はズァッッを放った！,
11,ギュルン！！,当たれば そのターンの間 相手の 防御が0になる会心技。
【物:\I[6142]】【先制】,の狙いすました一撃！,
12,逃げる,敵キャラの行動用。使用者が戦闘から離脱する。,は逃げてしまった。,
13,ギュルルルルルルン！！,\C[10]相手の防御を破壊する一閃
\C[0]【物:\I[6142]】【先制】,はギュルルルルルルン！！を放った！,
14,ケミカルダンパー,失敗作のマザイで爆破攻撃。ヤク漬の相手に威力1.5倍
【魔:\I[6120]】,はケミカルダンパーを放った！,
15,カラミティスコール,\C[10]敵全体を巻き込む爆発を起こす。使用後に攻撃が上昇。
\C[0]【魔:\I[6141]】【ｲﾝﾌﾙ付与(50%)】,はカラミティスコールを放った！,
16,タックル,敵一体に物理無属性の通常攻撃。
【物:\I[6142]】,のタックル！,
17,シュガシュガビーム,マザイを敵全体に投げつけ、確率で熱爆耐性を下げる。
【魔:\I[6120]】【耐性弱化(40%)】,はシュガシュガビームを放った！,
18,シグマインパクト,\C[10]敵単体に 闇の魔弾を放つ。
\C[0]【魔:\I[6141]】,はシグマインパクトを放った！,
19,ガンガンドリルラッシュ,,はガンガンドリルラッシュを放った！,
20,アニサキスザッパー,華麗なる乱舞で四段攻撃を放つ。
【物:\I[6142]】,はアニサキスザッパーを放った！,
21,ダークネスザッパー,\C[10]無情に相手を切り刻み四段攻撃を放つ。
\C[0]【物:\I[6142]】,はダークネスザッパーを放った！,
22,シュガシュガボンバー,大型のマザイを射出し、敵を爆撃する。
【魔:\I[6142]】【ヤク付与(80%)】\C[21]【ｸｰﾙﾀｲﾑ:1】,はシュガシュガボンバーを放った！,
23,心月,カウンター不能の強力な乱撃。ピンチ時 威力2倍 
【物:\I[6141]】,は心月を放った！,
24,サイクロ光線,,はサイクロ光線を放った！,
25,トゥルーンパンチ,全体攻撃,のトゥルーンパンチ！,
26,ゴッドゾーン,使用ターンの間、味方全員にダメージ無効バリアを展開。
\C[0]【先制】 \C[21]【ｸｰﾙﾀｲﾑ:3】,はゴッドゾーンを唱えた！,
27,負ける,敵キャラの行動用。使用者が戦闘から離脱する。,は負けてしまった。,
28,アモーレパンチ,全体攻撃,はアモーレパンチを放った！,
29,特別席,\C[10]使用ターン味方全員を鉄壁状態&全員のHP,MPを50%回復。
\C[0]【先制発動】 \C[21]【ｸｰﾙﾀｲﾑ:3】,は特別席を唱えた！,
30,過去の私より,ランダムに2回攻撃
【物:\I[6142]】,「そっちの世界はどう？,
31,退職,敵キャラの行動用。使用者が戦闘から離脱する。,は退職してしまった。,
32,ボーッとする,,はボーっとしている。,
33,パワードリル,,はパワードリルを放った！,
34,ﾌｨﾌﾃｨｰﾝ･ｱｯﾌﾟﾙ,味方全員のHPを小回復し、自動HP回復の能力を付与する。,はリンゴジュースを注文した！,
35,エムギフト,味方全員のMPを30%回復する。
,はエムギフトを唱えた！,
36,ﾊﾞｲﾀﾙ･ﾒﾃﾞｨｼﾝ,味方全員の会心率を強化する。,はﾊﾞｲﾀﾙ･ﾒﾃﾞｨｼﾝを使った！,
37,ゼッピンドボン,激熱ラーメンで攻撃。確率で氷撃耐性を下げる。
【物:\I[6120]】【耐性弱化(40%)】,はゼッピンドボンを放った！,
38,カエダマキナ,ザ・ツーを呼び出し、全体に電磁ボールを放つ。
【魔:\I[6122]】,はカエダマキナを放った！,
39,グラサンフラッシュ,グラサンの反射光で敵の目を眩ませる。
【目潰し付与(80%)】,はグラサンフラッシュを放った！,
40,カチカチ・アルケム,味方一人の防御力を大きく強化する。
,はカチカチ・アルケムを使った！,
41,ﾌﾟﾛﾃｸﾄ･ﾒﾃﾞｨｼﾝ,味方全員の防御力を少し強化する。
,はﾌﾟﾛﾃｸﾄ･ﾒﾃﾞｨｼﾝを使った！,
42,ニトロバランガ,秘められた氷魔法で敵を攻撃。
【魔:\I[6124]】【凍結付与(25%)】,はニトロバランガを使った！,
43,メタルバレッタ,鋼鉄をも貫く弾丸を放つ。(メタルボディ特効)
【物:\I[6142]】,はメタルバレッタを放った！,
44,ムキムキ・アルケム,味方一人の攻撃力を大きく強化する。 
,はムキムキ・アルケムを使った！,
45,ﾊﾞｰｻｸ･ﾒﾃﾞｨｼﾝ,味方全員の攻撃力を少し強化する。
,はﾊﾞｰｻｸ･ﾒﾃﾞｨｼﾝを使った！,
46,リロード,攻撃力が1.5倍上昇し、APPを15ﾁｬｰｼﾞする。
\C[21]【ｸｰﾙﾀｲﾑ:1】,はリロードした！,
47,,,,
48,ゲロボルク,相手の魂を刈る決殺の一撃。強敵にも1%通用
【一部無効】,のゲロボルク！,
49,オーツーアルケマイザー,1ターンだけ敵一体の被ダメージが1.5倍になる。
【超先制】【鉄壁破壊】\C[21]【ｸｰﾙﾀｲﾑ:5】,はオーツーアルケマイザーを唱えた！,
50,ｿﾆｯｸ･ﾒﾃﾞｨｼﾝ,味方全員の敏捷性を少し強化する。
,はｿﾆｯｸ･ﾒﾃﾞｨｼﾝを使った！,
51,サイケショック,全体に衝撃波を放つ。マシン系の相手に威力1.5倍
【魔:\I[6142]】【故障付与(30%)】,はサイケショックを放った！,
52,フラフラフラダンス,絶望的なダンスで自身含め敵味方全員が馬鹿になる。
\C[21]【ｸｰﾙﾀｲﾑ:8】,のフラフラフラダンス！,
53,トベルブラスター,レーザー兵器で攻撃。防御0の相手に威力2倍
【魔:\I[6125]】\C[21]【ｸｰﾙﾀｲﾑ:1】,はトベルブラスターを放った！,
54,カオスマトリシカ,ランダムに三発 雷撃を叩き込む。
【魔:\I[6122]】\C[21]【ｸｰﾙﾀｲﾑ:2】,はカオスマトリシカを放った！,
55,,,,
56,静寂の黙想,被ダメージを60%軽減。終了時HP･MP･APP+100%+攻撃上昇
【2ﾀｰﾝ行動不能】\C[21]【ｸｰﾙﾀｲﾑ:3】,の静寂の黙想！,
57,天変地異,敵全体に鉄槌を墜とす。
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:1】,の鉄槌が地盤を砕く！！,
58,わくわくスイーツタイム,敵から 狙われやすくなる。被ダメージ20%減
【先制】\C[21]【ｸｰﾙﾀｲﾑ:1】,のわくわくスイーツタイム！,
59,夢幻神威,すこしチカラを込めて攻撃。確率でマジ覚突入する。
【物:\I[6142]】【マジ覚突入(50%)】\C[21]【ｸｰﾙﾀｲﾑ:5】,の夢幻神威！！,
60,オランジェットボンボン,高速で攻撃し、続けてリロードを行う。
【物:\I[6142]】【先制】\C[21]【ｸｰﾙﾀｲﾑ:5】,はオランジェットボンボンを放った！,
61,ショコラパニッシャー,最大火力で敵一体にアディオス！
