1,死亡,,はくたばった！,をたおした！,,「今 何かしたか？
2,POISON,,はインフルにおかされた！,はインフルにおかされた！,「もう勘弁してください,のインフルが治った！
3,HIT DOWN,,の目がくらんだ！,の目がくらんだ！,,の視界が元に戻った！
4,SEAL,,はスキルを封じられた！,はスキルを封じられた！,,のスキル封印が解けた！
5,DRUG,,「FOOOOOOOOOOOOOOO！！,「FOOOOOOOOOOOOOOO！！,,は我に返った！
6,SLEEP,,は眠ってしまった！,は眠っている！,「zzz…,は目を覚ました！
7,HA ATK DOWN,,のATKが2/3になってしまった！,のATKが2/3になってしまった！,「頭痛いので帰っても良いですか？,の頭痛が和らいだ！
8,SHOCK,,は怯んでしまった！,を怯ませた！,,
9,GUARD,,,,,
10,,,,,,
11,COUNTER!,,はカウンター体制に入った！,はカウンター体制に入った！,,のカウンターが解除された！
12,,,,,,
13,BAKA,,は馬鹿になった！,は馬鹿になった！,「うんち！うんち！うんち！,は正気に戻った！
14,,,,,,
15,,,,,,
16,,,,,,
17,SHIELD!,,を防御壁が包む！,を防御壁が包む！,,の防御壁が解除された！
18,COUNTER!,,はカウンター体制に入った！,はカウンター体制に入った！,,のカウンターが解除された！
19,,,,,,
20,,,,,,
21,PROTECT!,,は敵の注意を引き付けた！,,,
22,,,,,,
23,APPチャージできまへん！,,,,,
24,,,,,,
25,●クリア前暗黒,,,,,
26,DARKNESS WORLD!,,の暗黒のチカラが覚醒する！,,,を纏うチカラが消えた！
27,SHOCK,,は怯んでしまった！,を怯ませた！,,は体制を立て直した！
28,SPRINT!,,は疾走状態になった！,,,
29,SPRINT!,,は疾走状態になった！,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,ステルス,,はステルス状態になった！,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,LOCK ON,,は敵からロックオンされた！,,,のロックオンが解除された！
45,HP REGENE!,,,,,はﾘﾝｺﾞｼﾞｭｰｽを飲みほした！
46,,,,,,
47,HEAD CHEF!,,は自信に満ち溢れている！,,,
48,自動修復,,,,は自動修復している!,
49,TRICK,,,の周りの空間に歪が生じた！,,の空間操作が解除された！
50,,,,,,
51,,,,,,
52,捕食対象,,,,,
53,,,,,,
54,,,,,,
55,LUNCH BUFF!,,,,,
56,,,,,,
57,,,,,,
58,MATK UP!,,は次の魔法に備えている！,は次の魔法に備えている！,,
59,DEF 0,,の防御力が0になってしまった！,の防御力が0になった！,,の防御力が元に戻った！
60,,,,,,
61,,,,,,
62,GPOW UP!,,の女子力が上昇した！,,,の女子力が元に戻った！
63,RELOAD!,,は次の攻撃に備えている！,は次の攻撃に備えている！,,
64,RELOAD!,,は次の攻撃に備えている！,は次の攻撃に備えている！,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,DAMAGE x1.5,,の受けるダメージが1.5倍になった！,の受けるダメージが1.5倍になった！,,の防御力が元に戻った！
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,無アイコン電気纏い,,,,,
77,無アイコン不死身,,,,,
78,VISION!,,,,,のヴィジョンがとけた！
79,NOT CURE,,は回復を封じられた！,の回復を封じた！,,の回復禁止が解けた！
80,不死身,,,,,をたおした！
81,,,,,,
82,MDEF UP!,,の魔法耐性が上がった！,の魔法耐性が上がった！,,の魔法耐性が元に戻った！
83,AWAKE!!,,はマジ覚突入！,はマジ覚突入！,,の怒りが収まった！
84,,,,,,
85,DEF DOWN,,,は打たれ弱くなった！,,の守備力が元に戻った！
86,CRT UP!,,の会心率が上がった！,,,の会心率が戻った！
87,BREAK,,,は故障した！,「ｱｱｱﾏｲﾄﾞﾏｲﾄﾞﾏｲﾄﾞ,の故障が直った！
88,FREEZE,,は氷漬けになってしまった！,は氷漬けになってしまった！,は凍り付いていて動けない！,の氷が溶けた！
89,DRUNK!,,は出来上がった！,,「あsdヴぃんdyjばるvん＠ア！！,の酔いがさめた！
90,,,,,,
91,BOOST!,,,,,
92,MAKE UP!,,の顔色が悲惨な事になった！,,「ゴホゴホッ あー具合わるい,のメイクが落ちた！
93,PINCH!!,,,,,
94,,,は黙想状態になった！,,「・・・・・・,「・・・ブハッ！！
95,斬,,,,,
96,,,,,,
97,,,,,,
98,WEAKENED,,,に傷をつけ、装甲が脆くなった！,,の傷が塞がった！
99,DARKNESS WORLD,,の暗黒のチカラが覚醒する！,,,を纏うチカラが消えた！
100,PINCH!,,,,,
101,SHIELD,,を防御壁が包む！,を防御壁が包む！,,の鉄壁が解除された！
102,DARKNESS WORLD,,の暗黒のチカラが覚醒する！,,,を纏うチカラが消えた！
103,ATK BOOST!,,の闇のチカラが増幅する！,,,
104,SHIELD!,,を防御壁が包む！,を防御壁が包む！,,の鉄壁が解除された！
105,アニメ修正用,,,,,
106,DARKNESS WORLD!,,の暗黒のチカラが覚醒する！,,,を纏うチカラが消えた！
107,GUTS!,,の気合が高まった！,,,
108,DANI-NINTEI-MODE,,,,,
109,AWAIT!,,,,,
110,,,,,,
111,COOLTIME-1,,のｸｰﾙﾀｲﾑが1減少した!,,,
112,ULT UP!,,は みなぎってきた!!,,,
113,ATK BOOST!,,の闇のチカラが増幅する！,,,
114,,,,,,
115,ATK BOOST!,,の攻撃力が上昇！,の攻撃力が上昇！,,
116,DEF BOOST!,,の防御力が上昇！,の防御力が上昇！,,
117,CRT BOOST!,,の会心率が上昇！,の会心率が上昇！,,
118,MATK UP!,,は次の魔法に備えている！,,,
119,ACC UP!!,,は狙いを定めた！,,,
120,表情変更用,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,MODE-EX!,,はマリキンEXに覚醒！！,,,のEX化が解除された！
125,Liberation!,,は解放の装を纏った！,,,を纏う解放の力が消えた！
126,解放者解除用,,,,,
127,解放者カウンター用,,,,,
128,解放者カウンター用,,,,,
129,解放者カウンター用,,,,,
130,逃走確定用,,,,,
131,APP,,,,,
132,電流,,,,,
133,AWAKE!,,はマジ覚突入！,はマジ覚突入！,,の怒りが収まった！
134,VISION!,,の回避率と会心率が上がった！,の回避率と会心率が上がった！,,のヴィジョンがとけた！
135,HP REGENE!,,に大量のﾘﾝｺﾞｼﾞｭｰｽが届く！,に大量のﾘﾝｺﾞｼﾞｭｰｽが届く！,,はﾘﾝｺﾞｼﾞｭｰｽを飲みほした！
136,AWAIT!,,,,,
137,APP上昇量0,,,,,
138,敏捷UP,,,,,
139,,,,,,
140,スキル封印,,,,,
141,TOXIC,,,は超ヤク漬になった！,「？？？？？？？？,は正気に戻った！
142,CLONE!,,は二人に分裂した！,,,の分身がどこかへ行ってしまった！
143,CLONE!,,は三人に分裂した！,,,の分身がどこかへ行ってしまった！
144,CLONE!,,は四人に分裂した！,,,の分身がどこかへ行ってしまった！
145,TARGET!,,は敵に目を付けられた！,,,の挑発効果が切れた！
146,AVD UP!,,の回避率が上昇！,,,の回避率が元に戻った！
147,COUNTER!,,はカウンター体制に入った！,はカウンター体制に入った！,,のカウンターが解除された！
148,MP REGENE!,,はMP自動回復の力を得た！,,,のMP回復効果が切れた！
149,TARGET!,,は敵に目を付けられた！！,,,の挑発効果が切れた！
150,TOXIC,,,は超インフルになった！,,の超インフルが治った！
151,TOXIC,,,は超目潰しになった！,,の超目潰しが治った！
152,,,,,,
153,CHAIN!,,,,,
154,CHAIN!,,,,,
155,CHAIN!,,,,,
156,FREEZE,,は氷漬けになってしまった！,は氷漬けになってしまった！,は凍り付いていて動けない！,の氷が溶けた！
157,DAMAGE x1.5,,の受けるダメージが1.5倍になった！,の受けるダメージが1.5倍になった！,,の防御力が元に戻った！
158,DEF 0,,の防御力が0になってしまった！,の防御力が0になった！,,の防御力が元に戻った！
159,2CHAIN!,,,,,
160,2CHAIN!,,,,,
161,演出用不死身,,,,,
162,APP上昇量2倍,,,,,
163,,,,,,
164,時止め背出,,,,,
165,PiNCH!,,,,,
166,極,,,,,
167,DAMAGE x1.5,,の受けるダメージが1.5倍になった！,の受けるダメージが1.5倍になった！,,の防御力が元に戻った！
168,熱耐DOWN,,の熱爆耐性が低下した！,の熱爆耐性が低下した！,,の熱爆耐性が元に戻った！
169,雷撃DOWN,,の雷撃耐性が低下した！,の雷撃耐性が低下した！,,の雷撃耐性が元に戻った！
170,氷耐DOWN,,の氷撃耐性が低下した！,の氷撃耐性が低下した！,,の氷撃耐性が元に戻った！
171,,,,,,
172,UNDEAD!,,はアンデッド状態になった！,,,「めちゃくちゃ痛い
173,ATTACK CHANGE!,,,,,のアメノカゴユミの効果が切れた！
174,雷撃DOWN,,の雷撃耐性が低下した！,,,の雷撃耐性が元に戻った！
175,風耐DOWN,,の旋風耐性が低下した！,,,の旋風耐性が元に戻った！
176,,,,,,
177,回復不能,,,,,
178,絶対命中ステート,,,,,
179,DAMAGE x2,,,,,
180,トライアル制限,,,,,
181,SHUFFLE!,,は次の攻撃に備えている！,は次の攻撃に備えている！,,
182,強化1,,,,,
183,強化2,,,,,
184,強化3 ,,,,,
185,強化4,,,,,
186,強化5,,,,,
187,強化6,,,,,
188,強化7,,,,,
189,強化8,,,,,
190,強化9,,,,,
191,強化10,,,,,
192,会心ダメージ上昇,,,,,
193,SEAL,,,,,
194,DULL AGI,,,,,
195,MP USE x2,,,,,
